case,num,n lane change,greedy,nldp,dp,ndelay,gddelay,nldpdelay,dpdelay,nexec,gdexec,nldpexec,dpexec
04_60,8,555,387,360,362,251.35133333333337,164.72633333333326,152.2513333333333,151.468,0.00021314620971679688,0.0006153583526611328,0.04014301300048828,0.12124395370483398
04_60,9,543,398,377,388,261.2140833333334,181.08908333333346,167.63908333333345,171.3307500000001,0.00021123886108398438,0.0007779598236083984,0.018526077270507812,0.10819101333618164
04_60,10,557,386,369,382,248.44758333333323,157.42258333333336,152.32258333333328,158.81424999999996,0.000408172607421875,0.0011126995086669922,0.018555879592895508,0.1278550624847412
06_20,1,255,190,177,181,147.33150000000003,116.73150000000001,111.63150000000005,113.13150000000003,6.508827209472656e-05,0.0002429485321044922,0.003587961196899414,0.016251087188720703
06_20,2,227,187,183,183,133.81300000000002,109.26299999999996,109.03799999999998,106.71299999999997,4.100799560546875e-05,0.0002548694610595703,0.003534078598022461,0.02049994468688965
06_20,3,242,198,185,184,132.01,112.06000000000002,105.58499999999997,103.70999999999997,5.1975250244140625e-05,0.00015616416931152344,0.004171848297119141,0.022092580795288086
06_20,4,231,197,187,185,125.39925000000001,112.52425000000001,108.29924999999999,109.04925,6.079673767089844e-05,0.00026607513427734375,0.004194974899291992,0.017850160598754883
06_20,5,231,188,178,186,139.05299999999994,117.62799999999997,112.02799999999999,115.90299999999999,4.100799560546875e-05,0.0001468658447265625,0.002704143524169922,0.01975083351135254
06_20,6,235,185,184,185,139.76975,118.36974999999998,117.61974999999998,117.86974999999998,5.984306335449219e-05,0.00023674964904785156,0.0040590763092041016,0.019673824310302734
06_20,7,227,181,184,182,134.98524999999998,112.26024999999996,116.53524999999998,114.58524999999997,7.605552673339844e-05,0.00034308433532714844,0.0040760040283203125,0.020557165145874023
06_20,8,244,179,174,175,146.22799999999998,112.578,111.40299999999999,113.603,6.985664367675781e-05,0.0002491474151611328,0.002946615219116211,0.018609285354614258
06_20,9,258,194,192,200,150.37774999999996,116.80274999999997,114.45274999999997,119.35274999999994,7.081031799316406e-05,0.0002770423889160156,0.0040857791900634766,0.020787954330444336
06_20,10,228,186,183,190,135.56975000000003,111.46975,110.86975000000004,113.66975000000005,7.295608520507812e-05,0.00024008750915527344,0.0033750534057617188,0.01995372772216797
06_40,1,405,310,283,289,210.29075000000003,156.49075,139.54074999999997,138.94074999999995,0.00017213821411132812,0.000354766845703125,0.008241891860961914,0.07009196281433105
06_40,2,388,294,276,279,203.29312499999995,156.19312499999995,151.1806249999999,151.28062499999993,0.00020599365234375,0.0006818771362304688,0.011456012725830078,0.06920099258422852
06_40,3,411,290,262,267,215.78375,156.19625,141.93374999999997,142.09625,0.00018477439880371094,0.0006909370422363281,0.011236190795898438,0.06607675552368164
06_40,4,411,284,274,279,200.51312500000012,142.688125,142.73812500000005,144.05062499999994,0.0001919269561767578,0.0003628730773925781,0.009055137634277344,0.04381108283996582
06_40,5,364,277,281,285,180.57737499999993,131.85237499999997,133.0148749999999,135.87737499999992,0.00021195411682128906,0.0003609657287597656,0.012949943542480469,0.04870867729187012
06_40,6,404,295,278,288,210.15137499999997,149.86387499999995,134.96387499999997,141.46387499999994,0.00010657310485839844,0.0006263256072998047,0.01630377769470215,0.06540107727050781
06_40,7,404,295,284,288,211.51887499999998,155.493875,146.518875,143.943875,0.00010895729064941406,0.0003609657287597656,0.010411977767944336,0.04625988006591797
