case,num,MN,FCFS max_delay,last lane change max_delay,out_lane_change max_delay,FCFS mean_delay,last lane change mean_delay,out_lane_change mean_delay,FCFS maxe,last lane change maxe,out_lane_change maxe
06_3_20,1,3_5,13.869999999999997,13.869999999999997,12.88,4.936428571428571,4.936428571428571,3.9425,31.03,31.03,26.42
06_3_20,2,3_5,6.890000000000004,6.890000000000004,5.790000000000003,2.424545454545455,2.424545454545455,2.5295454545454548,25.240000000000002,25.240000000000002,24.04
06_3_20,3,3_5,11.950000000000003,11.950000000000003,11.430000000000001,5.378888888888889,5.378888888888889,5.326296296296296,30,30,28
06_3_20,4,3_5,15.79,15.79,15.79,6.605,6.605,6.591875,34.36,34.36,34.36
06_3_20,5,3_5,23.689999999999998,23.689999999999998,23.46,9.408611111111112,9.408611111111112,8.426388888888889,43.54,43.54,43.43
06_3_20,6,3_5,11.999999999999996,11.999999999999996,10.93,4.297741935483871,4.297741935483871,4.044516129032258,31.13,31.13,30
06_3_20,7,3_5,16.669999999999998,16.669999999999998,13.510000000000002,5.108214285714285,5.1796428571428565,4.583571428571428,34.29,34.29,29.810000000000002
06_3_20,8,3_5,17.720000000000006,17.720000000000006,13.860000000000001,6.461562500000001,6.461562500000001,5.7965625,36.370000000000005,36.370000000000005,32.15
06_3_20,9,3_5,8.630000000000003,8.630000000000003,11.630000000000003,3.075833333333334,3.105000000000001,3.920000000000001,24.3,24.3,25.58
06_3_20,10,3_5,12.29,12.29,12.29,4.369655172413793,4.369655172413793,4.141379310344828,31.68,31.68,31.68
06_3_40,1,3_5,31.79,29.58,27.809999999999995,11.306363636363635,11.418181818181816,10.237090909090908,65.28999999999999,65.28999999999999,65
06_3_40,2,3_5,34.04,34.04,31.04,14.441515151515151,15.051363636363636,13.211060606060606,74,74,71
06_3_40,3,3_5,38.459999999999994,38.459999999999994,35.87,15.235,15.218870967741935,12.86,77.07,77.07,75.07
06_3_40,4,3_5,30.330000000000005,30.330000000000005,28.60000000000001,11.554915254237288,11.607118644067796,10.783389830508474,69.57,69.57,66.57
06_3_40,5,3_5,22.760000000000005,22.760000000000005,17.360000000000007,11.23690909090909,10.835090909090908,8.529818181818182,60.35,60.05,56.35
06_3_40,6,3_5,35.790000000000006,35.790000000000006,30.67,11.56920634920635,11.56920634920635,10.751111111111111,75.24000000000001,75.24000000000001,70
06_3_40,7,3_5,28.060000000000002,28.060000000000002,27.349999999999994,10.868688524590164,10.782622950819674,10.962459016393442,65,65,64.28999999999999
06_3_40,8,3_5,25.220000000000006,25.220000000000006,22.130000000000003,9.069322033898306,9.137118644067797,9.197118644067798,65,65,62
06_3_40,9,3_5,37.809999999999995,37.809999999999995,33.57999999999999,15.495970149253731,15.495970149253731,14.35,77.02,77.02,72.78999999999999
06_3_40,10,3_5,41.88000000000001,41.88000000000001,37.88000000000001,15.246617647058827,14.996617647058827,14.66794117647059,79.93,79.93,75.93
06_3_60,1,3_5,45.01,45.58999999999999,45.01,18.302777777777777,17.297666666666665,17.889666666666663,104.97,104.97,103.97
06_3_60,2,3_5,46.26,45.519999999999996,42.48,17.04845238095238,15.86654761904762,15.215833333333334,105,104,101.22
06_3_60,3,3_5,44.910000000000004,44.910000000000004,44.910000000000004,18.242584269662924,18.70483146067416,17.12505617977528,104.47,104.47,104.47
06_3_60,4,3_5,44.49999999999999,44.46999999999999,40.99999999999999,18.213255813953484,18.076744186046508,15.18162790697674,102.25999999999999,102.25999999999999,100.77
06_3_60,5,3_5,63.59,59.77,61.59,25.381372549019606,24.173431372549018,21.91764705882353,122,119.11,120
06_3_60,6,3_5,47.82,47.82,47.82,20.2321978021978,20.078351648351646,18.20153846153846,107.4,107.4,107.4
06_3_60,7,3_5,58.52,58.52,55.52,24.98135922330097,24.987864077669904,21.725436893203884,117,117,114
06_3_60,8,3_5,55.32,55.32,54.32,18.51585106382979,19.696702127659574,17.962659574468084,113.43,113.43,112.43
06_3_60,9,3_5,47.459999999999994,47.459999999999994,45.1,23.558854166666663,23.37364583333333,20.87739583333333,106.94,106.94,103.94
06_3_60,10,3_5,58.309999999999995,58.309999999999995,53.309999999999995,24.137128712871288,23.929207920792077,20.834059405940593,117.41,117.41,110.41
08_3_20,1,3_5,27.02,27.02,23.629999999999995,10.474358974358974,10.474358974358974,9.577948717948718,45.41,45.41,43.41
08_3_20,2,3_5,16.6,16.6,15.600000000000001,7.069687500000001,6.944687500000001,7.15,35.14,35.14,35
08_3_20,3,3_5,28.53,28.53,27.53,11.275238095238095,11.275238095238095,10.261904761904761,48,48,47
08_3_20,4,3_5,27.28,27.28,23.0,11.3255,11.3255,10.001,45.980000000000004,45.980000000000004,41
08_3_20,5,3_5,24.389999999999997,24.389999999999997,22.599999999999998,12.35046511627907,12.35046511627907,11.775813953488372,43.68,43.68,42.16
08_3_20,6,3_5,21.68,21.68,21.68,8.624054054054053,8.624054054054053,8.941891891891892,41,41,40
